IO;OSC Address;Name;Color
1;/input/1;In 1 test;1,0,0,1
2;/input/2;In 2;0.5,0.5,0.5,1
3;/input/3;In 3;0.5,0.5,0.5,1
4;/input/4;In 4;0.5,0.5,0.5,1
5;/input/5;In 5;0.5,0.5,0.5,1
6;/input/6;In 6;0.5,0.5,0.5,1
7;/input/7;In 7;0.5,0.5,0.5,1
8;/input/8;In 8;0.5,0.5,0.5,1
9;/input/9;In 9;0.5,0.5,0.5,1
10;/input/10;In 10;0.5,0.5,0.5,1
11;/input/11;In 11;0.5,0.5,0.5,1
12;/input/12;In 12;0.5,0.5,0.5,1
13;/input/13;In 13;0.5,0.5,0.5,1
14;/input/14;In 14;0.5,0.5,0.5,1
15;/input/15;In 15;0.5,0.5,0.5,1
16;/input/16;In 16;0.5,0.5,0.5,1
17;/input/17;In 17;0.5,0.5,0.5,1
18;/input/18;In 18;0.5,0.5,0.5,1
19;/input/19;In 19;0.5,0.5,0.5,1
20;/input/20;In 20;0.5,0.5,0.5,1
21;/input/21;In 21;0.5,0.5,0.5,1
22;/input/22;In 22;0.5,0.5,0.5,1
23;/input/23;In 23;0.5,0.5,0.5,1
24;/input/24;In 24;0.5,0.5,0.5,1
25;/input/25;In 25;0.5,0.5,0.5,1
26;/input/26;In 26;0.5,0.5,0.5,1
27;/input/27;In 27;0.5,0.5,0.5,1
28;/input/28;In 28;0.5,0.5,0.5,1
29;/input/29;In 29;0.5,0.5,0.5,1
30;/input/30;In 30;0.5,0.5,0.5,1
31;/input/31;In 31;0.5,0.5,0.5,1
32;/input/32;In 32;0.5,0.5,0.5,1
33;/input/33;In 33;0.5,0.5,0.5,1
34;/input/34;In 34;0.5,0.5,0.5,1
35;/input/35;In 35;0.5,0.5,0.5,1
36;/input/36;In 36;0.5,0.5,0.5,1
37;/input/37;In 37;0.5,0.5,0.5,1
38;/input/38;In 38;0.5,0.5,0.5,1
39;/input/39;In 39;0.5,0.5,0.5,1
40;/input/40;In 40;0.5,0.5,0.5,1
41;/input/41;In 41;0.5,0.5,0.5,1
42;/input/42;In 42;0.5,0.5,0.5,1
43;/input/43;In 43;0.5,0.5,0.5,1
44;/input/44;In 44;0.5,0.5,0.5,1
45;/input/45;In 45;0.5,0.5,0.5,1
46;/input/46;In 46;0.5,0.5,0.5,1
47;/input/47;In 47;0.5,0.5,0.5,1
48;/input/48;In 48;0.5,0.5,0.5,1
49;/input/49;In 49;0.5,0.5,0.5,1
50;/input/50;In 50;0.5,0.5,0.5,1
51;/input/51;In 51;0.5,0.5,0.5,1
52;/input/52;In 52;0.5,0.5,0.5,1
53;/input/53;In 53;0.5,0.5,0.5,1
54;/input/54;In 54;0.5,0.5,0.5,1
55;/input/55;In 55;0.5,0.5,0.5,1
56;/input/56;In 56;0.5,0.5,0.5,1
57;/input/57;In 57;0.5,0.5,0.5,1
58;/input/58;In 58;0.5,0.5,0.5,1
59;/input/59;In 59;0.5,0.5,0.5,1
60;/input/60;In 60;0.5,0.5,0.5,1
61;/input/61;In 61;0.5,0.5,0.5,1
62;/input/62;In 62;0.5,0.5,0.5,1
63;/input/63;In 63;0.5,0.5,0.5,1
64;/input/64;In 64;0.5,0.5,0.5,1
65;/input/65;In 65;0.5,0.5,0.5,1
66;/input/66;In 66;0.5,0.5,0.5,1
67;/input/67;In 67;0.5,0.5,0.5,1
68;/input/68;In 68;0.5,0.5,0.5,1
69;/input/69;In 69;0.5,0.5,0.5,1
70;/input/70;In 70;0.5,0.5,0.5,1
71;/input/71;In 71;0.5,0.5,0.5,1
72;/input/72;In 72;0.5,0.5,0.5,1
73;/input/73;In 73;0.5,0.5,0.5,1
74;/input/74;In 74;0.5,0.5,0.5,1
75;/input/75;In 75;0.5,0.5,0.5,1
76;/input/76;In 76;0.5,0.5,0.5,1
77;/input/77;In 77;0.5,0.5,0.5,1
78;/input/78;In 78;0.5,0.5,0.5,1
79;/input/79;In 79;0.5,0.5,0.5,1
80;/input/80;In 80;0.5,0.5,0.5,1
81;/input/81;In 81;0.5,0.5,0.5,1
82;/input/82;In 82;0.5,0.5,0.5,1
83;/input/83;In 83;0.5,0.5,0.5,1
84;/input/84;In 84;0.5,0.5,0.5,1
85;/input/85;In 85;0.5,0.5,0.5,1
86;/input/86;In 86;0.5,0.5,0.5,1
87;/input/87;In 87;0.5,0.5,0.5,1
88;/input/88;In 88;0.5,0.5,0.5,1
89;/input/89;In 89;0.5,0.5,0.5,1
90;/input/90;In 90;0.5,0.5,0.5,1
91;/input/91;In 91;0.5,0.5,0.5,1
92;/input/92;In 92;0.5,0.5,0.5,1
93;/input/93;In 93;0.5,0.5,0.5,1
94;/input/94;In 94;0.5,0.5,0.5,1
95;/input/95;In 95;0.5,0.5,0.5,1
96;/input/96;In 96;0.5,0.5,0.5,1
97;/input/97;In 97;0.5,0.5,0.5,1
98;/input/98;In 98;0.5,0.5,0.5,1
99;/input/99;In 99;0.5,0.5,0.5,1
100;/input/100;In 100;0.5,0.5,0.5,1
101;/input/101;In 101;0.5,0.5,0.5,1
102;/input/102;In 102;0.5,0.5,0.5,1
103;/input/103;In 103;0.5,0.5,0.5,1
104;/input/104;In 104;0.5,0.5,0.5,1
105;/input/105;In 105;0.5,0.5,0.5,1
106;/input/106;In 106;0.5,0.5,0.5,1
107;/input/107;In 107;0.5,0.5,0.5,1
108;/input/108;In 108;0.5,0.5,0.5,1
109;/input/109;In 109;0.5,0.5,0.5,1
110;/input/110;In 110;0.5,0.5,0.5,1
111;/input/111;In 111;0.5,0.5,0.5,1
112;/input/112;In 112;0.5,0.5,0.5,1
113;/input/113;In 113;0.5,0.5,0.5,1
114;/input/114;In 114;0.5,0.5,0.5,1
115;/input/115;In 115;0.5,0.5,0.5,1
116;/input/116;In 116;0.5,0.5,0.5,1
117;/input/117;In 117;0.5,0.5,0.5,1
118;/input/118;In 118;0.5,0.5,0.5,1
119;/input/119;In 119;0.5,0.5,0.5,1
120;/input/120;In 120;0.5,0.5,0.5,1
121;/input/121;In 121;0.5,0.5,0.5,1
122;/input/122;In 122;0.5,0.5,0.5,1
123;/input/123;In 123;0.5,0.5,0.5,1
124;/input/124;In 124;0.5,0.5,0.5,1
125;/input/125;In 125;0.5,0.5,0.5,1
126;/input/126;In 126;0.5,0.5,0.5,1
127;/input/127;In 127;0.5,0.5,0.5,1
128;/input/128;In 128;0.5,0.5,0.5,1
