IO;OSC Address;Name;Color;X;Y;Z;Azim;Elev;Dist;Lock
1;/speaker/1;F1;0.9725490196078431,0.9058823529411765,0.10980392156862745,1;-6.019999999999998;5.3999999999999995;2.3600000000000003;-48.107578229394626;16.26854034816551;8.424369412602939;false
2;/speaker/2;F2;0.9725490196078431,0.9058823529411765,0.10980392156862745,1;-4.700000000000002;5.4;2.359999999999998;-41.03534527714388;18.24527416522816;7.5378776853966;false
3;/speaker/3;F3;0.9725490196078431,0.9058823529411765,0.10980392156862745,1;-3.35;5.4;2.3600000000000003;-31.8142386978123;20.37385572559823;6.778797828523875;false
4;/speaker/4;F4;0.9725490196078431,0.9058823529411765,0.10980392156862745,1;-2;5.4;2.3599999999999994;-20.32313682966294;22.2853361996877;6.223311015850004;false
5;/speaker/5;F5;0.9725490196078431,0.9058823529411765,0.10980392156862745,1;-0.7000000000000001;5.4;2.36;-7.386043151267269;23.432425913051503;5.934610349466931;false
6;/speaker/6;F6;0.9725490196078431,0.9058823529411765,0.10980392156862745,1;0.7000000000000001;5.4;2.36;7.386043151267269;23.432425913051503;5.934610349466931;false
7;/speaker/7;F7;0.9725490196078431,0.9058823529411765,0.10980392156862745,1;2;5.4;2.3599999999999994;20.32313682966294;22.2853361996877;6.223311015850004;false
8;/speaker/8;F8;0.9725490196078431,0.9058823529411765,0.10980392156862745,1;3.35;5.4;2.3600000000000003;31.8142386978123;20.37385572559823;6.778797828523875;false
9;/speaker/9;F9;0.9725490196078431,0.9058823529411765,0.10980392156862745,1;4.700000000000002;5.4;2.359999999999998;41.03534527714388;18.24527416522816;7.5378776853966;false
10;/speaker/10;F10;0.9725490196078431,0.9058823529411765,0.10980392156862745,1;6.000000000000002;5.4;2.3599999999999994;48.01278750418334;16.296933301137425;8.410089179075333;false
21;/speaker/21;Front 21;0.9725490196078431,0.9058823529411765,0.10980392156862745,1;-4.699999999999999;5.3;-2.190000000000001;-41.56636963754948;-17.179348963126657;7.4145869743364665;false
22;/speaker/22;Front 22;0.9725490196078431,0.9058823529411765,0.10980392156862745,1;-1.4999999999999998;5.3;-2.19;-15.802513953935529;-21.68231331397797;5.927571172073769;false
23;/speaker/23;Front 23;0.9725490196078431,0.9058823529411765,0.10980392156862745,1;1.4999999999999998;5.3;-2.19;15.802513953935529;-21.68231331397797;5.927571172073769;false
24;/speaker/24;Front 24;0.9725490196078431,0.9058823529411765,0.10980392156862745,1;4.699999999999999;5.3;-2.190000000000001;41.56636963754948;-17.179348963126657;7.4145869743364665;false
25;/speaker/25;SUB R;0.9725490196078431,0.9058823529411765,0.10980392156862745,1;7.5;5.3;-2.3400000000000003;54.752424941653786;-14.294780304536898;9.477109263905318;false
26;/speaker/26;SUB Sr;0.9725490196078431,0.9058823529411765,0.10980392156862745,1;2.3599999999999994;-5.3;-2.34;155.99740198086192;-21.9657379500085;6.255813296446753;false
27;/speaker/27;SUB Sl;0.9725490196078431,0.9058823529411765,0.10980392156862745,1;-2.3599999999999994;-5.3;-2.34;-155.99740198086192;-21.9657379500085;6.255813296446753;false
28;/speaker/28;SUB L;0.9725490196078431,0.9058823529411765,0.10980392156862745,1;-7.5;5.3;-2.3400000000000003;-54.752424941653786;-14.294780304536898;9.477109263905318;false
11;/speaker/11;HOA 1;0.9725490196078431,0.9058823529411765,0.10980392156862745,1;7;3;1.1600000000000001;66.80140948635182;8.66046823302829;7.703609543584098;false
12;/speaker/12;HOA 2;0.9725490196078431,0.9058823529411765,0.10980392156862745,1;7.000000000000001;0.5;2.3600000000000003;85.91438322002513;18.587075428480194;7.404025931883275;false
13;/speaker/13;HOA 3;0.9725490196078431,0.9058823529411765,0.10980392156862745,1;7;-2;3.56;105.94539590092286;26.058800022549363;8.103924974973546;false
14;/speaker/14;HOA 4;0.9725490196078431,0.9058823529411765,0.10980392156862745,1;6;-5.000000000000001;1.7599999999999985;129.8055710922652;12.699191678833463;8.0060976761466;false
15;/speaker/15;HOA 5;0.9725490196078431,0.9058823529411765,0.10980392156862745,1;3;-5;1.860000000000001;149.03624346792648;17.69202597741309;6.120424821856731;false
16;/speaker/16;HOA 6;0.9725490196078431,0.9058823529411765,0.10980392156862745,1;-3;-5;1.860000000000001;-149.03624346792648;17.69202597741309;6.120424821856731;false
17;/speaker/17;HOA 7;0.9725490196078431,0.9058823529411765,0.10980392156862745,1;-6;-5.000000000000001;1.7599999999999985;-129.8055710922652;12.699191678833463;8.0060976761466;false
18;/speaker/18;HOA 8;0.9725490196078431,0.9058823529411765,0.10980392156862745,1;-7;-2;3.56;-105.94539590092286;26.058800022549363;8.103924974973546;false
19;/speaker/19;HOA 9;0.9725490196078431,0.9058823529411765,0.10980392156862745,1;-7.000000000000001;0.5;2.3600000000000003;-85.91438322002513;18.587075428480194;7.404025931883275;false
20;/speaker/20;HOA 10;0.9725490196078431,0.9058823529411765,0.10980392156862745,1;-7;3;1.1600000000000001;-66.80140948635182;8.66046823302829;7.703609543584098;false
